Jurisdiction,date_week_start,date_week_end,Week_Number,Year,Week_Year,Cases,Week_Type
Guam,2023-12-31,2024-01-06,1,2024,1-2024,23,Original
Guam,2024-01-07,2024-01-13,2,2024,2-2024,29,Original
Guam,2024-01-14,2024-01-20,3,2024,3-2024,22,Original
Guam,2024-01-21,2024-01-27,4,2024,4-2024,22,Original
Guam,2024-01-28,2024-02-03,5,2024,5-2024,12,Original
Guam,2024-02-04,2024-02-10,6,2024,6-2024,13,Original
Guam,2024-02-11,2024-02-17,7,2024,7-2024,10,Original
Guam,2024-02-18,2024-02-24,8,2024,8-2024,20,Original
Guam,2024-02-25,2024-03-02,9,2024,9-2024,10,Original
Guam,2024-03-03,2024-03-09,10,2024,10-2024,13,Original
Guam,2024-03-10,2024-03-16,11,2024,11-2024,11,Original
Guam,2024-03-17,2024-03-23,12,2024,12-2024,34,Original
Guam,2024-03-24,2024-03-30,13,2024,13-2024,31,Original
Guam,2024-03-31,2024-04-06,14,2024,14-2024,19,Original
Guam,2024-04-07,2024-04-13,15,2024,15-2024,18,Original
Guam,2024-04-14,2024-04-20,16,2024,16-2024,15,Original
Guam,2024-04-21,2024-04-27,17,2024,17-2024,10,Original
Guam,2024-04-28,2024-05-04,18,2024,18-2024,14,Original
Guam,2024-05-05,2024-05-11,19,2024,19-2024,21,Original
Guam,2024-05-12,2024-05-18,20,2024,20-2024,18,Original
Guam,2024-05-19,2024-05-25,21,2024,21-2024,15,Original
Guam,2024-05-26,2024-06-01,22,2024,22-2024,29,Original
Guam,2024-06-02,2024-06-08,23,2024,23-2024,20,Original
Guam,2024-06-09,2024-06-15,24,2024,24-2024,7,Original
Guam,2024-06-16,2024-06-22,25,2024,25-2024,13,Original
Guam,2024-06-23,2024-06-29,26,2024,26-2024,10,Original
Guam,2024-06-30,2024-07-06,27,2024,27-2024,10,Original
Guam,2024-07-07,2024-07-13,28,2024,28-2024,16,Original
Guam,2024-07-14,2024-07-20,29,2024,29-2024,9,Original
Guam,2024-07-21,2024-07-27,30,2024,30-2024,9,Original
Guam,2024-07-28,2024-08-03,31,2024,31-2024,15,Original
Guam,2024-08-04,2024-08-10,32,2024,32-2024,9,Original
Guam,2024-08-11,2024-08-17,33,2024,33-2024,17,Original
Guam,2024-08-18,2024-08-24,34,2024,34-2024,32,Original
Guam,2024-08-25,2024-08-31,35,2024,35-2024,53,Original
Guam,2024-09-01,2024-09-07,36,2024,36-2024,34,Original
Guam,2024-09-08,2024-09-14,37,2024,37-2024,39,Original
Guam,2024-09-15,2024-09-21,38,2024,38-2024,66,Original
Guam,2024-09-22,2024-09-28,39,2024,39-2024,68,Original
Guam,2024-09-29,2024-10-05,40,2024,40-2024,54,Original
Guam,2024-10-06,2024-10-12,41,2024,41-2024,45,Original
Guam,2024-10-13,2024-10-19,42,2024,42-2024,42,Original
Guam,2024-10-20,2024-10-26,43,2024,43-2024,39,Original
Guam,2024-10-27,2024-11-02,44,2024,44-2024,58,Original
Guam,2024-11-03,2024-11-09,45,2024,45-2024,57,Original
Guam,2024-11-10,2024-11-16,46,2024,46-2024,39,Original
Guam,2024-11-17,2024-11-23,47,2024,47-2024,33,Original
Guam,2024-11-24,2024-11-30,48,2024,48-2024,21,Original
Guam,2024-12-01,2024-12-07,49,2024,49-2024,16,Original
Guam,2024-12-08,2024-12-14,50,2024,50-2024,14,Original
Guam,2024-12-15,2024-12-21,51,2024,51-2024,12,Original
Guam,2024-12-22,2024-12-28,52,2024,52-2024,18,Original
Guam,2024-12-29,2025-01-04,1,2025,1-2025,26,Original
Guam,2025-01-05,2025-01-11,2,2025,2-2025,25,Original
Guam,2025-01-12,2025-01-18,3,2025,3-2025,59,Original
Guam,2025-01-19,2025-01-25,4,2025,4-2025,56,Original
Guam,2025-01-26,2025-02-01,5,2025,5-2025,38,Original
Guam,2025-02-02,2025-02-08,6,2025,6-2025,50,Original
Guam,2025-02-09,2025-02-15,7,2025,7-2025,58,Original
Guam,2025-02-16,2025-02-22,8,2025,8-2025,43,Original
Guam,2025-02-23,2025-03-01,9,2025,9-2025,31,Original
Guam,2025-03-02,2025-03-08,10,2025,10-2025,30,Original
Guam,2025-03-09,2025-03-15,11,2025,11-2025,18,Original
Guam,2025-03-16,2025-03-22,12,2025,12-2025,29,Original
Guam,2025-03-23,2025-03-29,13,2025,13-2025,27,Original
Guam,2025-03-30,2025-04-05,14,2025,14-2025,31,Original
Guam,2025-04-06,2025-04-12,15,2025,15-2025,30,Original
Guam,2025-04-13,2025-04-19,16,2025,16-2025,20,Original
Guam,2025-04-20,2025-04-26,17,2025,17-2025,19,Original
Guam,2025-04-27,2025-05-03,18,2025,18-2025,19,Original
Guam,2025-05-04,2025-05-10,19,2025,19-2025,17,Original
Guam,2025-05-11,2025-05-17,20,2025,20-2025,14,Original
Guam,2025-05-18,2025-05-24,21,2025,21-2025,7,Original
Guam,2025-05-25,2025-05-31,22,2025,22-2025,22,Original
Guam,2025-06-01,2025-06-07,23,2025,23-2025,8,Original
Guam,2025-06-08,2025-06-14,24,2025,24-2025,7,Original
Guam,2025-06-15,2025-06-21,25,2025,25-2025,5,Original
Guam,2025-06-22,2025-06-28,26,2025,26-2025,9,Original
Guam,2025-06-29,2025-07-05,27,2025,27-2025,3,Original
Guam,2025-07-06,2025-07-12,28,2025,28-2025,4,Original
Guam,2025-07-13,2025-07-19,29,2025,29-2025,3,Original
Guam,2025-07-20,2025-07-26,30,2025,30-2025,6,Original
Guam,2025-07-27,2025-08-02,31,2025,31-2025,4,Original
Guam,2025-08-03,2025-08-09,32,2025,32-2025,16,Original
Guam,2025-08-10,2025-08-16,33,2025,33-2025,7,Original
Guam,2025-08-17,2025-08-23,34,2025,34-2025,3,Original
Guam,2025-08-24,2025-08-30,35,2025,35-2025,8,Original
Guam,2025-08-31,2025-09-06,36,2025,36-2025,14,Original
Guam,2025-09-07,2025-09-13,37,2025,37-2025,5,Original
Guam,2025-09-14,2025-09-20,38,2025,38-2025,22,Original
Guam,2025-09-21,2025-09-27,39,2025,39-2025,40,Original
Guam,2025-09-28,2025-10-04,40,2025,40-2025,61,Original
Guam,2025-10-05,2025-10-11,41,2025,41-2025,69,Original
Guam,2025-10-12,2025-10-18,42,2025,42-2025,92,Original
Guam,2025-10-19,2025-10-25,43,2025,43-2025,232,Original
Guam,2025-10-26,2025-11-01,44,2025,44-2025,321,Original
Guam,2025-11-02,2025-11-08,45,2025,45-2025,454,Original
Guam,2025-11-09,2025-11-15,46,2025,46-2025,260,Original
Guam,2025-11-16,2025-11-22,47,2025,47-2025,136,Original
Guam,2025-11-23,2025-11-29,48,2025,48-2025,9,Original
