Disease,epiweek_start,cases,Type,Median,Lower90,Lower50,Lower20,Upper20,Upper50,Upper90
"FLU",2023-12-31,23,,,,,,,,
"FLU",2024-01-07,29,,,,,,,,
"FLU",2024-01-14,22,,,,,,,,
"FLU",2024-01-21,22,,,,,,,,
"FLU",2024-01-28,12,,,,,,,,
"FLU",2024-02-04,13,,,,,,,,
"FLU",2024-02-11,10,,,,,,,,
"FLU",2024-02-18,20,,,,,,,,
"FLU",2024-02-25,10,,,,,,,,
"FLU",2024-03-03,13,,,,,,,,
"FLU",2024-03-10,11,,,,,,,,
"FLU",2024-03-17,34,,,,,,,,
"FLU",2024-03-24,31,,,,,,,,
"FLU",2024-03-31,19,,,,,,,,
"FLU",2024-04-07,18,,,,,,,,
"FLU",2024-04-14,15,,,,,,,,
"FLU",2024-04-21,10,,,,,,,,
"FLU",2024-04-28,14,,,,,,,,
"FLU",2024-05-05,21,,,,,,,,
"FLU",2024-05-12,18,,,,,,,,
"FLU",2024-05-19,15,,,,,,,,
"FLU",2024-05-26,29,,,,,,,,
"FLU",2024-06-02,20,,,,,,,,
"FLU",2024-06-09,7,,,,,,,,
"FLU",2024-06-16,13,,,,,,,,
"FLU",2024-06-23,10,,,,,,,,
"FLU",2024-06-30,10,,,,,,,,
"FLU",2024-07-07,16,,,,,,,,
"FLU",2024-07-14,9,,,,,,,,
"FLU",2024-07-21,9,,,,,,,,
"FLU",2024-07-28,15,,,,,,,,
"FLU",2024-08-04,9,,,,,,,,
"FLU",2024-08-11,17,,,,,,,,
"FLU",2024-08-18,32,,,,,,,,
"FLU",2024-08-25,53,,,,,,,,
"FLU",2024-09-01,34,,,,,,,,
"FLU",2024-09-08,39,,,,,,,,
"FLU",2024-09-15,66,,,,,,,,
"FLU",2024-09-22,68,,,,,,,,
"FLU",2024-09-29,54,,,,,,,,
"FLU",2024-10-06,45,,,,,,,,
"FLU",2024-10-13,42,,,,,,,,
"FLU",2024-10-20,39,,,,,,,,
"FLU",2024-10-27,58,,,,,,,,
"FLU",2024-11-03,57,,,,,,,,
"FLU",2024-11-10,39,,,,,,,,
"FLU",2024-11-17,33,,,,,,,,
"FLU",2024-11-24,21,,,,,,,,
"FLU",2024-12-01,16,,,,,,,,
"FLU",2024-12-08,14,,,,,,,,
"FLU",2024-12-15,12,,,,,,,,
"FLU",2024-12-22,18,,,,,,,,
"FLU",2024-12-29,26,,,,,,,,
"FLU",2025-01-05,25,,,,,,,,
"FLU",2025-01-12,59,,,,,,,,
"FLU",2025-01-19,56,,,,,,,,
"FLU",2025-01-26,38,,,,,,,,
"FLU",2025-02-02,50,,,,,,,,
"FLU",2025-02-09,58,,,,,,,,
"FLU",2025-02-16,43,,,,,,,,
"FLU",2025-02-23,31,,,,,,,,
"FLU",2025-03-02,30,,,,,,,,
"FLU",2025-03-09,18,,,,,,,,
"FLU",2025-03-16,29,,,,,,,,
"FLU",2025-03-23,27,,,,,,,,
"FLU",2025-03-30,31,,,,,,,,
"FLU",2025-04-06,30,,,,,,,,
"FLU",2025-04-13,20,,,,,,,,
"FLU",2025-04-20,19,,,,,,,,
"FLU",2025-04-27,19,,,,,,,,
"FLU",2025-05-04,17,,,,,,,,
"FLU",2025-05-11,14,,,,,,,,
"FLU",2025-05-18,7,,,,,,,,
"FLU",2025-05-25,22,,,,,,,,
"FLU",2025-06-01,8,,,,,,,,
"FLU",2025-06-08,7,,,,,,,,
"FLU",2025-06-15,5,,,,,,,,
"FLU",2025-06-22,9,,,,,,,,
"FLU",2025-06-29,3,,,,,,,,
"FLU",2025-07-06,4,,,,,,,,
"FLU",2025-07-13,3,,,,,,,,
"FLU",2025-07-20,6,,,,,,,,
"FLU",2025-07-27,4,,,,,,,,
"FLU",2025-08-03,16,,,,,,,,
"FLU",2025-08-10,7,,,,,,,,
"FLU",2025-08-17,3,,,,,,,,
"FLU",2025-08-24,8,,,,,,,,
"FLU",2025-08-31,14,"estimate",14,12,13.5,14,15,15,17
"FLU",2025-09-07,144,"estimate",144,99,124,136,152,168,212
"FLU",2025-09-14,234,"estimate",234,181,211,225,243,259,308
"FLU",2025-09-21,338,"estimate",338,274,312,328,349,368,427
"FLU",2025-09-28,505,"estimate",505,412,466,490,520,547,630
"FLU",2025-10-05,778,"estimate",778,637,721,756,799,839,956
"FLU",2025-10-12,1239,"estimate",1239,1013,1150,1207,1273,1333,1523
"FLU",2025-10-19,2031,"partial-data estimate",2031,1543,1840,1958,2100,2235,2664
"FLU",2025-10-26,,"forecast",3336,2194,2853,3151,3530,3926,5238
"FLU",2025-11-02,,"forecast",2783,1596,2269,2581,3011,3479,5200
