"Disease","date","variable","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
"FLU",2025-05-26,"R","estimate",0.8525,0.852108862562573,0.035,0.796826172119266,0.829233396158418,0.843690830053311,0.861401148515598,0.876419417460557,0.912063729115592
"FLU",2025-05-27,"R","estimate",0.855,0.853874135795699,0.0344,0.80024399395835,0.832125947122867,0.846340945808914,0.863747646406617,0.878502830644291,0.913502638594058
"FLU",2025-05-28,"R","estimate",0.8575,0.856437147613212,0.0338,0.803663269735983,0.835018751892973,0.848991097937518,0.86609418141875,0.880586511779614,0.914943207795922
"FLU",2025-05-29,"R","estimate",0.86,0.859650522045619,0.0332,0.807083988710824,0.8379118083939,0.851641286129368,0.86844075322066,0.882670458383511,0.916385420037117
"FLU",2025-05-30,"R","estimate",0.8625,0.861833489259014,0.0326,0.81050614024622,0.840805114573337,0.85429151007822,0.870787361484943,0.884754668003527,0.917829258855476
"FLU",2025-05-31,"R","estimate",0.865,0.864368230939613,0.032,0.81392971380895,0.843698668401199,0.856941769481283,0.873134005888065,0.886839138217296,0.91927470800707
"FLU",2025-06-01,"R","estimate",0.8675,0.867696464727761,0.0314,0.817354698967979,0.846592467869328,0.859592064039179,0.875480686110312,0.888923866632082,0.920721751462619
"FLU",2025-06-02,"R","estimate",0.87,0.871012184276423,0.0308,0.820781085393238,0.849486510991192,0.862242393455888,0.877827401835726,0.891008850884329,0.922170373403972
"FLU",2025-06-03,"R","estimate",0.8725,0.87438908103364,0.0302,0.824208862854412,0.852380795801601,0.864892757438704,0.880174152752055,0.893094088639216,0.923620558220651
"FLU",2025-06-04,"R","estimate",0.875,0.875103181835212,0.0296,0.827638021219751,0.855275320356418,0.867543155698188,0.882520938550699,0.895179577590221,0.925072290506473
"FLU",2025-06-05,"R","estimate",0.8775,0.876837855311053,0.029,0.831068550454897,0.858170082732282,0.870193587948125,0.884867758926652,0.8972653154587,0.92652555505623
"FLU",2025-06-06,"R","estimate",0.88,0.879568264971678,0.0284,0.834500440621729,0.861065081026327,0.872844053905476,0.887214613578456,0.899351299993459,0.927980336862432
"FLU",2025-06-07,"R","estimate",0.8825,0.881224037612934,0.0278,0.837933681877219,0.863960313355911,0.875494553290334,0.889561502208147,0.901437528970348,0.92943662111212
"FLU",2025-06-08,"R","estimate",0.885,0.887810662411484,0.0272,0.841368264472309,0.866855777858352,0.878145085825885,0.891908424521201,0.903524000191855,0.930894393183732
"FLU",2025-06-09,"R","estimate",0.8875,0.888614043287167,0.0266,0.844804178750802,0.869751472690659,0.880795651238361,0.89425538022649,0.905610711486708,0.932353638644039
"FLU",2025-06-10,"R","estimate",0.89,0.886609029889635,0.026,0.848241415148271,0.872647396029279,0.883446249257,0.896602369036232,0.907697660709485,0.933814343245127
"FLU",2025-06-11,"R","estimate",0.8925,0.8940663499734,0.0254,0.851679964190976,0.875543546069836,0.886096879614004,0.89894939066594,0.909784845740231,0.935276492921447
"FLU",2025-06-12,"R","estimate",0.895,0.894145615891136,0.0248,0.855119816494806,0.878439921026881,0.8887475420445,0.901296444834378,0.911872264484082,0.936740073786918
"FLU",2025-06-13,"R","estimate",0.8975,0.898961648500435,0.0242,0.858560962764225,0.881336519133649,0.8913982362865,0.903643531263512,0.913959914870894,0.938205072132083
"FLU",2025-06-14,"R","estimate",0.9,0.895910901517775,0.0236,0.862003393791244,0.88423333864181,0.89404896208086,0.90599064967847,0.916047794854881,0.93967147442132
"FLU",2025-06-15,"R","estimate",0.9025,0.903421038709648,0.023,0.865447100454401,0.887130377821233,0.896699719171243,0.908337799807489,0.918135902414258,0.941139267290105
"FLU",2025-06-16,"R","estimate",0.905,0.90439672266522,0.0224,0.868892073717749,0.890027634959749,0.899350507304081,0.910684981381878,0.920224235550889,0.942608437542327
"FLU",2025-06-17,"R","estimate",0.9075,0.906898990007999,0.0218,0.872338304629872,0.892925108362916,0.902001326228538,0.913032194135973,0.922312792289942,0.944078972147657
"FLU",2025-06-18,"R","estimate",0.91,0.908734663984894,0.0212,0.875785784322905,0.895822796353797,0.904652175696473,0.915379437807092,0.924401570679554,0.945550858238956
"FLU",2025-06-19,"R","estimate",0.9125,0.910830897098526,0.0206,0.879234504011567,0.898720697272727,0.907303055462402,0.917726712135497,0.926490568790496,0.947024083109739
"FLU",2025-06-20,"R","estimate",0.915,0.915558305108631,0.02,0.882684454992211,0.901618809477099,0.909953965283466,0.920074016864349,0.928579784715844,0.948498634211688
"FLU",2025-06-21,"R","estimate",0.9175,0.915150255416696,0.0194,0.886135628641887,0.904517131341139,0.912604904919394,0.92242135173967,0.930669216570661,0.949974499152204
"FLU",2025-06-22,"R","estimate",0.92,0.921864757786702,0.0188,0.889588016417415,0.907415661255695,0.915255874132468,0.924768716510305,0.932758862491682,0.951451665692009
"FLU",2025-06-23,"R","estimate",0.921071428571429,0.922908033294645,0.0182,0.891613775813559,0.908885951578229,0.916478319023304,0.925687557382402,0.933420276831721,0.951502320336525
"FLU",2025-06-24,"R","estimate",0.922142857142857,0.920604377433,0.0176,0.893640632558144,0.910356429687684,0.917700790594978,0.926606425203449,0.934081884027908,0.951554146038973
"FLU",2025-06-25,"R","estimate",0.923214285714286,0.92312101408164,0.015,0.898866115214144,0.913159440848351,0.919427074973858,0.92701709634902,0.933379844986441,0.948221990928964
"FLU",2025-06-26,"R","estimate",0.924285714285714,0.921721901121705,0.015,0.899937168282445,0.914230805716842,0.920498494528355,0.92808851585399,0.934451208918518,0.949293030382461
"FLU",2025-06-27,"R","estimate",0.925357142857143,0.927617590925168,0.015,0.90100822221259,0.915302170732313,0.921569914103704,0.929159935379984,0.935522573000826,0.950364070745069
"FLU",2025-06-28,"R","estimate",0.926428571428571,0.928867590146761,0.015,0.902079277001615,0.916373535894256,0.922641333699833,0.930231354926928,0.936593937232843,0.951435112013606
"FLU",2025-06-29,"R","estimate",0.9275,0.927125307719852,0.015,0.90315033264657,0.917444901202167,0.92371275331667,0.931302774494751,0.937665301614048,0.952506154184903
"FLU",2025-06-30,"R","estimate",0.928571428571429,0.929110771812373,0.015,0.904221389144518,0.918516266655541,0.924784172954143,0.93237419408338,0.938736666143922,0.953577197255809
"FLU",2025-07-01,"R","estimate",0.929642857142857,0.92947144703638,0.015,0.905292446492537,0.919587632253877,0.925855592612181,0.933445613692742,0.939808030821949,0.954648241223185
"FLU",2025-07-02,"R","estimate",0.930714285714286,0.929272207426632,0.015,0.906363504687716,0.920658997996676,0.926927012290713,0.934517033322767,0.940879395647617,0.955719286083908
"FLU",2025-07-03,"R","estimate",0.931785714285714,0.930927301079334,0.015,0.907434563727159,0.921730363883443,0.927998431989669,0.935588452973382,0.941950760620413,0.95679033183487
"FLU",2025-07-04,"R","estimate",0.932857142857143,0.933431746020217,0.015,0.908505623607983,0.922801729913681,0.929069851708978,0.936659872644518,0.943022125739829,0.957861378472975
"FLU",2025-07-05,"R","estimate",0.933928571428571,0.935371208800435,0.015,0.909576684327317,0.923873096086901,0.93014127144857,0.937731292336102,0.944093491005359,0.958932425995143
"FLU",2025-07-06,"R","estimate",0.935,0.936450829655973,0.015,0.910647745882304,0.924944462402612,0.931212691208376,0.938802712048064,0.945164856416499,0.960003474398309
"FLU",2025-07-07,"R","estimate",0.936071428571429,0.935368544214582,0.015,0.9117188082701,0.926015828860325,0.932284110988326,0.939874131780336,0.946236221972746,0.961074523679421
"FLU",2025-07-08,"R","estimate",0.937142857142857,0.937671018400082,0.015,0.912789871487873,0.927087195459557,0.933355530788352,0.940945551532846,0.947307587673601,0.962145573835441
"FLU",2025-07-09,"R","estimate",0.938214285714286,0.936682385012386,0.015,0.913860935532805,0.928158562199824,0.934426950608384,0.942016971305525,0.948378953518568,0.963216624863345
"FLU",2025-07-10,"R","estimate",0.939285714285714,0.940051118424418,0.015,0.91493200040209,0.929229929080645,0.935498370448355,0.943088391098305,0.94945031950715,0.964287676760124
"FLU",2025-07-11,"R","estimate",0.940357142857143,0.941319492605113,0.015,0.916003066092936,0.930301296101541,0.936569790308195,0.944159810911116,0.950521685638856,0.965358729522782
"FLU",2025-07-12,"R","estimate",0.941428571428571,0.940609782906279,0.015,0.91707413260256,0.931372663262036,0.937641210187839,0.94523123074389,0.951593051913195,0.966429783148336
"FLU",2025-07-13,"R","estimate",0.9425,0.944486565706389,0.015,0.918145199928196,0.932444030561655,0.938712630087217,0.946302650596558,0.952664418329678,0.967500837633819
"FLU",2025-07-14,"R","estimate",0.943571428571429,0.940964901621547,0.015,0.919216268067088,0.933515397999926,0.939784050006263,0.947374070469054,0.953735784887821,0.968571892976274
"FLU",2025-07-15,"R","estimate",0.944642857142857,0.947119929614747,0.015,0.920287337016493,0.93458676557638,0.94085546994491,0.948445490361309,0.954807151587139,0.969642949172762
"FLU",2025-07-16,"R","estimate",0.945714285714286,0.944418741782192,0.015,0.921358406773681,0.935658133290548,0.941926889903092,0.949516910273256,0.95587851842715,0.970714006220354
"FLU",2025-07-17,"R","estimate",0.946785714285714,0.947828629101587,0.015,0.922429477335931,0.936729501141964,0.942998309880742,0.950588330204829,0.956949885407376,0.971785064116135
"FLU",2025-07-18,"R","estimate",0.947857142857143,0.945848298780137,0.015,0.923500548700538,0.937800869130164,0.944069729877794,0.95165975015596,0.958021252527338,0.972856122857204
"FLU",2025-07-19,"R","estimate",0.948928571428571,0.949745742730807,0.015,0.924571620864809,0.938872237254687,0.945141149894183,0.952731170126583,0.959092619786563,0.973927182440673
"FLU",2025-07-20,"R","estimate",0.95,0.949957507095746,0.015,0.92564269382606,0.939943605515073,0.946212569929844,0.953802590116632,0.960163987184577,0.974998242863667
"FLU",2025-07-21,"R","estimate",0.951785714285714,0.953677308578815,0.015,0.927427817191966,0.94172921958306,0.947998270031927,0.955588290143038,0.961949599821744,0.976783345426502
"FLU",2025-07-22,"R","estimate",0.953571428571429,0.95491419596605,0.015,0.929212942752006,0.943514834025068,0.949783970187062,0.957373990222921,0.963735212840963,0.978568450300239
"FLU",2025-07-23,"R","estimate",0.955357142857143,0.956994047708593,0.015,0.930998070493983,0.945300448839009,0.951569670394951,0.95915969035598,0.965520826240085,0.980353557471806
"FLU",2025-07-24,"R","estimate",0.957142857142857,0.959298109949816,0.015,0.932783200405789,0.947086064022807,0.9533553706553,0.960945390541917,0.967306440016976,0.982138666928233
"FLU",2025-07-25,"R","estimate",0.958928571428571,0.960392334461647,0.015,0.934568332475405,0.948871679574404,0.955141070967817,0.962731090780437,0.969092054169518,0.983923778656645
"FLU",2025-07-26,"R","estimate",0.960714285714286,0.958350403939838,0.015,0.936353466690904,0.950657295491756,0.95692677133221,0.964516791071245,0.97087766869561,0.985708892644265
"FLU",2025-07-27,"R","estimate",0.9625,0.962324390009828,0.015,0.938138603040442,0.952442911772835,0.958712471748191,0.966302491414051,0.972663283593164,0.987494008878412
"FLU",2025-07-28,"R","estimate",0.964285714285714,0.963622387688878,0.015,0.939923741512267,0.954228528415626,0.960498172215474,0.968088191808565,0.974448898860111,0.989279127346498
"FLU",2025-07-29,"R","estimate",0.966071428571429,0.967644292571523,0.015,0.941708882094707,0.956014145418131,0.962283872733775,0.9698738922545,0.976234514494393,0.991064248036029
"FLU",2025-07-30,"R","estimate",0.967857142857143,0.966158601198305,0.015,0.943494024776182,0.957799762778365,0.964069573302812,0.971659592751572,0.978020130493972,0.992849370934606
"FLU",2025-07-31,"R","estimate",0.969642857142857,0.966605489852425,0.015,0.945279169545193,0.95958538049436,0.965855273922305,0.973445293299496,0.979805746856821,0.994634496029919
"FLU",2025-08-01,"R","estimate",0.971428571428571,0.970682364428758,0.015,0.947064316390323,0.96137099856416,0.967640974591976,0.975230993897993,0.981591363580931,0.996419623309753
