"Disease","epiweek_start","cases","Type","Median","Lower90","Lower50","Lower20","Upper20","Upper50","Upper90"
"FLU",2023-12-31,23,,,,,,,,
"FLU",2024-01-07,29,,,,,,,,
"FLU",2024-01-14,22,,,,,,,,
"FLU",2024-01-21,22,,,,,,,,
"FLU",2024-01-28,12,,,,,,,,
"FLU",2024-02-04,13,,,,,,,,
"FLU",2024-02-11,10,,,,,,,,
"FLU",2024-02-18,20,,,,,,,,
"FLU",2024-02-25,10,,,,,,,,
"FLU",2024-03-03,13,,,,,,,,
"FLU",2024-03-10,11,,,,,,,,
"FLU",2024-03-17,34,,,,,,,,
"FLU",2024-03-24,31,,,,,,,,
"FLU",2024-03-31,19,,,,,,,,
"FLU",2024-04-07,18,,,,,,,,
"FLU",2024-04-14,15,,,,,,,,
"FLU",2024-04-21,10,,,,,,,,
"FLU",2024-04-28,14,,,,,,,,
"FLU",2024-05-05,21,,,,,,,,
"FLU",2024-05-12,18,,,,,,,,
"FLU",2024-05-19,15,,,,,,,,
"FLU",2024-05-26,29,,,,,,,,
"FLU",2024-06-02,20,,,,,,,,
"FLU",2024-06-09,7,,,,,,,,
"FLU",2024-06-16,13,,,,,,,,
"FLU",2024-06-23,10,,,,,,,,
"FLU",2024-06-30,10,,,,,,,,
"FLU",2024-07-07,16,,,,,,,,
"FLU",2024-07-14,9,,,,,,,,
"FLU",2024-07-21,9,,,,,,,,
"FLU",2024-07-28,15,,,,,,,,
"FLU",2024-08-04,9,,,,,,,,
"FLU",2024-08-11,17,,,,,,,,
"FLU",2024-08-18,32,,,,,,,,
"FLU",2024-08-25,53,,,,,,,,
"FLU",2024-09-01,34,,,,,,,,
"FLU",2024-09-08,39,,,,,,,,
"FLU",2024-09-15,66,,,,,,,,
"FLU",2024-09-22,68,,,,,,,,
"FLU",2024-09-29,54,,,,,,,,
"FLU",2024-10-06,45,,,,,,,,
"FLU",2024-10-13,42,,,,,,,,
"FLU",2024-10-20,39,,,,,,,,
"FLU",2024-10-27,58,,,,,,,,
"FLU",2024-11-03,57,,,,,,,,
"FLU",2024-11-10,39,,,,,,,,
"FLU",2024-11-17,33,,,,,,,,
"FLU",2024-11-24,21,,,,,,,,
"FLU",2024-12-01,16,,,,,,,,
"FLU",2024-12-08,14,,,,,,,,
"FLU",2024-12-15,12,,,,,,,,
"FLU",2024-12-22,18,,,,,,,,
"FLU",2024-12-29,26,,,,,,,,
"FLU",2025-01-05,25,,,,,,,,
"FLU",2025-01-12,59,,,,,,,,
"FLU",2025-01-19,56,,,,,,,,
"FLU",2025-01-26,38,,,,,,,,
"FLU",2025-02-02,50,,,,,,,,
"FLU",2025-02-09,58,,,,,,,,
"FLU",2025-02-16,43,,,,,,,,
"FLU",2025-02-23,31,,,,,,,,
"FLU",2025-03-02,30,,,,,,,,
"FLU",2025-03-09,18,,,,,,,,
"FLU",2025-03-16,29,,,,,,,,
"FLU",2025-03-23,27,,,,,,,,
"FLU",2025-03-30,31,,,,,,,,
"FLU",2025-04-06,30,,,,,,,,
"FLU",2025-04-13,20,,,,,,,,
"FLU",2025-04-20,19,,,,,,,,
"FLU",2025-04-27,19,,,,,,,,
"FLU",2025-05-04,17,,,,,,,,
"FLU",2025-05-11,14,,,,,,,,
"FLU",2025-05-18,7,,,,,,,,
"FLU",2025-05-25,22,,,,,,,,
"FLU",2025-06-01,8,,,,,,,,
"FLU",2025-06-08,7,,,,,,,,
"FLU",2025-06-15,5,,,,,,,,
"FLU",2025-06-22,9,,,,,,,,
"FLU",2025-06-29,3,,,,,,,,
"FLU",2025-07-06,4,,,,,,,,
"FLU",2025-07-13,3,,,,,,,,
"FLU",2025-07-20,6,,,,,,,,
"FLU",2025-07-27,4,,,,,,,,
"FLU",2025-08-03,16,,,,,,,,
"FLU",2025-08-10,7,,,,,,,,
"FLU",2025-08-17,3,,,,,,,,
"FLU",2025-08-24,8,,,,,,,,
"FLU",2025-08-31,14,"estimate",14,12,13.5,14,15,15,17
"FLU",2025-09-07,5,"estimate",5,4,5,5,5,5,6
"FLU",2025-09-14,22,"estimate",21,18,20,20,22,22,25
"FLU",2025-09-21,40,"estimate",39,33,37,38,40,42,47
"FLU",2025-09-28,61,"estimate",63,54,59,62,65,68,74
"FLU",2025-10-05,69,"estimate",72,61,67,70,73.5,77,85
"FLU",2025-10-12,92,"estimate",96,81,89,93,98,102,112.5
"FLU",2025-10-19,232,"estimate",222,188,208,216,228,237,262
"FLU",2025-10-26,321,"estimate",309,262,289,301,317,330,364
"FLU",2025-11-02,454,"estimate",430,365,402,419,441,460,507
"FLU",2025-11-09,260,"estimate",245.5,208,230,240,252,263,290
"FLU",2025-11-16,136,"partial-data estimate",128,95,113,122,134,145,172
"FLU",2025-11-23,9,"partial-data estimate",72,54,64,69,75,81,97
"FLU",2025-11-30,,"forecast",44,31,38,42,46.5,51,63
"FLU",2025-12-07,,"forecast",28,17,23,26,30,34,46
"FLU",2025-12-14,,"forecast",18,9.5,14,16,20,23,33.5
