"Disease","date","Observations","type","median","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
"FLU",2025-07-27,0,"estimate",1,1,1,1,1,1,1
"FLU",2025-08-03,0,"estimate",1,1,1,1,1,1,1
"FLU",2025-08-10,1,"estimate",1,1,1,1,1,1,1
"FLU",2025-08-17,0,"estimate",1,1,1,1,1,1,1
"FLU",2025-08-24,0,"estimate",1,1,1,1,1,1,1
"FLU",2025-08-31,0,"estimate",1,1,1,1,1,1,1
"FLU",2025-09-07,0,"estimate",1,1,1,1,1,1,1
"FLU",2025-09-14,1,"estimate",1,1,1,1,1,1,1
"FLU",2025-09-21,2,"estimate",1,1,1,1,1,2,2
"FLU",2025-09-28,4,"estimate",2,1,2,2,2,2,3
"FLU",2025-10-05,2,"estimate",3,2,2,2,3,3,4
"FLU",2025-10-12,6,"estimate",5,3,4,4,5,5,7
"FLU",2025-10-19,12,"estimate",7,5,6,7,7,8,10
"FLU",2025-10-26,9,"estimate",12,9,11,12,13,14,18
"FLU",2025-11-02,8,"partial-data estimate",11,7,9,10,12,13,18
"FLU",2025-11-09,7,"partial-data estimate",11,6,9,10,12,13,18
"FLU",2025-11-16,4,"partial-data estimate",5,3,4,4,5,6,9
"FLU",2025-11-23,1,"partial-data estimate",2,1,2,2,3,3,5
"FLU",2025-11-30,,"forecast",2,1,1,2,2,2,4
"FLU",2025-12-07,,"forecast",1,0,1,1,1,2,3
"FLU",2025-12-14,,"forecast",1,0,1,1,1,2,3
