FY,CDCWk,WkNum,WkStart,Disease,Metric,Count,Rate,ThisWk,LastWk,Update Date,End Date,WkStrtActual,WkEndActual,extraction_date,source,workbook_name,hyper_file
23_24,19,45,5/5/24,,,0,0,0,0,7/10/24,6/29/24,5/5/24,5/11/24,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,20,46,5/12/24,,,0,0,0,0,7/10/24,6/29/24,5/12/24,5/18/24,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,21,47,5/19/24,,,0,0,0,0,7/10/24,6/29/24,5/19/24,5/25/24,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,22,48,5/26/24,,,0,0,0,0,7/10/24,6/29/24,5/26/24,6/1/24,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,23,49,6/2/24,,,0,0,0,0,7/10/24,6/29/24,6/2/24,6/8/24,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,24,50,6/9/24,,,0,0,0,0,7/10/24,6/29/24,6/9/24,6/15/24,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,25,51,6/16/24,,,0,0,0,1,7/10/24,6/29/24,6/16/24,6/22/24,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,26,52,6/23/24,,,0,0,1,0,7/10/24,6/29/24,6/23/24,6/29/24,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,27,1,7/2/23,Flu,Cases,0,0,,,7/10/24,6/29/24,6/28/20,7/4/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,27,1,7/2/23,RSV,Cases,0,0,,,7/10/24,6/29/24,6/28/20,7/4/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,27,1,7/2/23,RSV,Cases,2,0.060324473,,,7/10/24,6/29/24,7/4/21,7/10/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,27,1,7/2/23,RSV,Cases,4,0.121680184,0,0,7/10/24,6/29/24,7/2/23,7/8/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,27,1,7/2/23,Flu,Cases,6,0.18097342,,,7/10/24,6/29/24,7/4/21,7/10/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
