"Fiscal Year","Date","Potable Water Use","Potable M&I Water Use"
"2023","2022-07-31","47782.1","44838.2"
"2023","2022-08-31","49332.9","46121.3"
"2023","2022-09-30","44282.7","41430.4"
"2023","2022-10-31","41306.9","39065.7"
"2023","2022-11-30","32778.2","31591.5"
"2023","2022-12-31","29333.6","28497.9"
"2023","2023-01-31","23950.0","23764.0"
"2023","2023-02-28","23447.4","23191.8"
"2023","2023-03-31","23967.3","23860.9"
"2023","2023-04-30","29824.8","29234.4"
"2023","2023-05-31","36154.4","34777.9"
"2023","2023-06-30","37957.5","36429.5"
"2022","2022-05-31","43729.8","41471.3"
"2022","2022-06-30","45079.1","42503.0"
"2021","2021-01-31","30439.1","29369.5"
"2021","2021-02-28","26564.6","25681.6"
"2021","2021-03-31","28943.6","27913.0"
"2021","2021-04-30","37934.3","35825.0"
"2021","2021-05-31","42802.8","40152.5"
"2021","2021-06-30","45169.0","42084.8"
"2021","2020-07-31","48447.5","45300.1"
"2021","2020-08-31","50018.8","46407.4"
"2021","2020-09-30","48135.9","44243.0"
"2021","2020-10-31","46029.8","42547.6"
"2021","2020-11-30","35434.5","33549.1"
"2021","2020-12-31","35699.4","33740.2"
"2020","2020-01-31","27015.7","26493.1"
"2020","2020-02-29","29366.7","28213.1"
"2020","2020-03-31","25628.4","25040.2"
"2020","2020-04-30","25873.6","25592.4"
"2020","2020-05-31","41943.7","39664.3"
"2020","2020-06-30","44369.6","41793.7"
"2020","2019-07-31","47791.0","44477.0"
"2020","2019-08-31","49573.0","45987.0"
"2020","2019-09-30","45450.0","42100.0"
"2020","2019-10-31","44339.0","41025.0"
"2020","2019-11-30","34894.0","32795.0"
"2020","2019-12-31","24101.0","23794.0"
"2019","2019-01-31","25213.0","25209.0"
"2019","2019-02-28","21760.0","21707.0"
"2019","2019-03-31","25149.0","24999.0"
"2019","2019-04-30","37158.0","35320.0"
"2019","2019-05-31","33176.0","31807.0"
"2019","2019-06-30","40649.0","38205.0"
"2019","2018-07-31","51348.0","46718.0"
"2019","2018-08-31","53037.0","48477.0"
"2019","2018-09-30","46466.0","42745.0"
"2019","2018-10-31","41765.0","39131.0"
"2019","2018-11-30","38511.0","35959.0"
"2019","2018-12-31","26449.0","25707.0"
"2018","2018-01-31","32434.0","30723.0"
"2018","2018-02-28","32389.0","30526.0"
"2018","2018-03-31","28338.0","27434.0"
"2018","2018-04-30","39688.0","37248.0"
"2018","2018-05-31","42722.0","39786.0"
"2018","2018-06-30","45765.0","42413.0"
"2018","2017-07-31","49711.0","45475.4"
"2018","2017-08-31","49172.7","45123.1"
"2018","2017-09-30","45251.4","41331.1"
"2018","2017-10-31","47166.1","43232.0"
"2018","2017-11-30","39379.3","36305.8"
"2018","2017-12-31","39263.5","36110.4"
"2017","2017-01-31","22652.4","22473.4"
"2017","2017-02-28","21437.9","21293.6"
"2017","2017-03-31","30071.7","29144.4"
"2017","2017-04-30","40711.6","37700.4"
"2017","2017-05-31","40696.0","38039.6"
"2017","2017-06-30","44761.2","41116.4"
"2017","2016-07-31","49604.0","44989.6"
"2017","2016-08-31","50573.7","46048.1"
"2017","2016-09-30","44183.3","40482.1"
"2017","2016-10-31","44318.7","40734.5"
"2017","2016-11-30","36737.5","33966.8"
"2017","2016-12-31","27596.8","26486.0"
"2016","2016-01-31","25221.6","24548.3"
"2016","2016-02-29","30905.5","29006.4"
"2016","2016-03-31","31605.7","29682.2"
"2016","2016-04-30","34972.5","32454.9"
"2016","2016-05-31","38285.4","35412.2"
"2016","2016-06-30","43913.0","40015.3"
"2016","2015-07-31","39239.5","36115.8"
"2016","2015-08-31","44506.1","40556.6"
"2016","2015-09-30","40859.3","37499.3"
"2016","2015-10-31","38844.3","35751.6"
"2016","2015-11-30","33885.2","31322.6"
"2016","2015-12-31","29907.0","28090.0"
"2015","2015-01-31","31077.6","29774.5"
"2015","2015-02-28","33492.6","31022.0"
"2015","2015-03-31","39802.3","37006.4"
"2015","2015-04-30","42956.3","39148.1"
"2015","2015-05-31","35657.6","33246.2"
"2015","2015-06-30","41627.7","37963.1"
"2015","2014-07-31","59210.7","54084.2"
"2015","2014-08-31","55495.8","50359.4"
"2015","2014-09-30","54262.5","48961.4"
"2015","2014-10-31","52199.6","47208.6"
"2015","2014-11-30","40417.2","37152.4"
"2015","2014-12-31","26144.5","25217.3"
"2014","2014-01-31","43617.6","39733.6"
"2014","2014-02-28","35104.9","32220.4"
"2014","2014-03-31","36716.0","34582.8"
"2014","2014-04-30","44734.6","41042.4"
"2014","2014-05-31","57103.6","51670.6"
"2014","2014-06-30","56084.9","51212.2"
"2014","2013-07-31","58994.1","53797.7"
"2014","2013-08-31","59549.1","54336.4"
"2014","2013-09-30","56811.3","51572.7"
"2014","2013-10-31","48660.8","44826.0"
"2014","2013-11-30","39752.4","36818.1"
"2014","2013-12-31","37213.3","34505.5"
"2013","2013-01-31","31183.1","29906.4"
"2013","2013-02-28","29270.0","27827.1"
"2013","2013-03-31","38481.6","36107.8"
"2013","2013-04-30","45975.0","42156.8"
"2013","2013-05-31","52079.5","47883.5"
"2013","2013-06-30","56409.3","51647.8"
"2013","2012-07-31","59792.7","54661.6"
"2013","2012-08-31","62646.3","56770.5"
"2013","2012-09-30","58065.1","52618.2"
"2013","2012-10-31","50980.3","46561.8"
"2013","2012-11-30","42130.3","38852.5"
"2013","2012-12-31","29648.4","28345.0"
"2012","2012-01-31","36484.6","34045.2"
"2012","2012-02-29","32468.4","30394.3"
"2012","2012-03-31","33932.6","32087.3"
"2012","2012-04-30","35044.0","33322.7"
"2012","2012-05-31","48672.0","45355.5"
"2012","2012-06-30","54986.9","50433.8"
"2012","2011-07-31","59627.3","54492.7"
"2012","2011-08-31","60432.9","55078.9"
"2012","2011-09-30","53789.8","48937.4"
"2012","2011-10-31","47462.5","43764.9"
"2012","2011-11-30","31168.5","29623.2"
"2012","2011-12-31","33408.6","31627.5"
"2011","2011-01-31","32028.4","31079.6"
"2011","2011-02-28","29527.6","28189.5"
"2011","2011-03-31","30029.6","29321.6"
"2011","2011-04-30","38501.1","36440.7"
"2011","2011-05-31","48465.9","45205.5"
"2011","2011-06-30","52125.6","48255.7"
"2011","2010-07-31","57653.9","52682.0"
"2011","2010-08-31","59971.5","54596.4"
"2011","2010-09-30","55661.0","50448.9"
"2011","2010-10-31","38954.5","36206.9"
"2011","2010-11-30","36448.8","34370.9"
"2011","2010-12-31","31088.8","29625.9"
"2010","2010-01-31","31491.1","30195.1"
"2010","2010-02-28","23521.9","23277.7"
"2010","2010-03-31","34205.6","33180.0"
"2010","2010-04-30","35132.2","33241.6"
"2010","2010-05-31","49777.1","46081.2"
"2010","2010-06-30","54121.6","49662.8"
"2010","2009-07-31","60204.0","53967.5"
"2010","2009-08-31","61909.4","55325.0"
"2010","2009-09-30","60049.9","53269.2"
"2010","2009-10-31","53265.7","47945.3"
"2010","2009-11-30","46740.5","42228.5"
"2010","2009-12-31","30449.7","29045.1"
"2009","2009-01-31","38998.5","36590.2"
"2009","2009-02-28","30739.4","29407.6"
"2009","2009-03-31","44220.4","40925.8"
"2009","2009-04-30","49517.4","44953.4"
"2009","2009-05-31","55955.3","50511.1"
"2009","2009-06-30","51236.4","46751.1"
"2009","2008-07-31","70053.1","65328.1"
"2009","2008-08-31","69044.6","64498.8"
"2009","2008-09-30","62921.8","58435.2"
"2009","2008-10-31","63030.8","58277.2"
"2009","2008-11-30","49346.1","45854.1"
"2009","2008-12-31","32480.9","31265.1"
"2008","2008-01-31","31850.4","31261.3"
"2008","2008-02-29","28412.2","28099.4"
"2008","2008-03-31","45399.2","43502.6"
"2008","2008-04-30","56454.6","52726.6"
"2008","2008-05-31","59862.0","56505.6"
"2008","2008-06-30","64986.9","60968.7"
"2008","2007-07-31","79205.8","70574.4"
"2008","2007-08-31","77999.5","68610.3"
"2008","2007-09-30","70260.0","62425.4"
"2008","2007-10-31","64435.2","57011.6"
"2008","2007-11-30","53724.2","48136.7"
"2008","2007-12-31","33925.9","32357.6"
"2007","2007-01-31","50449.4","44790.0"
"2007","2007-02-28","33494.8","31397.5"
"2007","2007-03-31","49106.6","44151.3"
"2007","2007-04-30","53876.8","48039.7"
"2007","2007-05-31","65470.1","57627.3"
"2007","2007-06-30","70605.8","62931.3"
"2007","2006-07-31","80664.5","68566.7"
"2007","2006-08-31","74709.7","63673.8"
"2007","2006-09-30","72715.0","62039.4"
"2007","2006-10-31","62055.4","53465.7"
"2007","2006-11-30","56880.1","48666.5"
"2007","2006-12-31","45494.8","40822.5"
