"Disease","date","variable","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
"COVID",2025-04-28,"R","estimate",1.04670470752443,1.04847439680183,0.0375283485691436,0.990559564759447,1.02300137106462,1.03801871478085,1.05684739070966,1.07274957686372,1.11296652716617
"COVID",2025-04-29,"R","estimate",1.04593514828105,1.04737010359608,0.0347578103154597,0.993359750706336,1.02405391570576,1.0377209983407,1.05510657514199,1.07013617801891,1.107412788391
"COVID",2025-04-30,"R","estimate",1.04475635110858,1.04622704082232,0.0320875411519046,0.996022910903677,1.02444871608086,1.0377236027857,1.05312372150665,1.06748639718465,1.10158831264555
"COVID",2025-05-01,"R","estimate",1.04388771721606,1.04504690030134,0.0295325679991757,0.998790952819258,1.02483128675937,1.03725447551355,1.05126727635108,1.06461840778054,1.09538269924708
"COVID",2025-05-02,"R","estimate",1.0430065864103,1.04383144445678,0.0271081711207912,1.00114354203639,1.02545329963902,1.03653667732189,1.04939561398085,1.06181406902896,1.0896391595357
"COVID",2025-05-03,"R","estimate",1.04200257851741,1.04258212530545,0.0248289374567095,1.00302156372516,1.02581961937627,1.03594107444286,1.04780757203521,1.05904250071061,1.0848952102342
"COVID",2025-05-04,"R","estimate",1.04072079885632,1.04129975714073,0.0227079565769661,1.00522094599683,1.02609804813847,1.03523063649147,1.04652337461655,1.05629034191525,1.08004246875182
"COVID",2025-05-05,"R","estimate",1.03950043080237,1.03998429247056,0.0207564617944799,1.00674785352452,1.02597313983948,1.03441230789697,1.04482305246433,1.05358016567335,1.07525258723356
"COVID",2025-05-06,"R","estimate",1.03817141763599,1.03863473196239,0.0189839576677738,1.00818419651787,1.02574277007841,1.03356631904007,1.04290854933524,1.05132549319252,1.07103762445914
"COVID",2025-05-07,"R","estimate",1.03681974352973,1.03724917891203,0.017398504473636,1.00950031436418,1.02538787957927,1.03253209524891,1.04122384486061,1.04890050948817,1.066521125139
"COVID",2025-05-08,"R","estimate",1.03543024893843,1.03582503204223,0.0160065775427104,1.01026930719204,1.02478811876391,1.03158576032105,1.03954362268873,1.04646430836016,1.06251965776906
"COVID",2025-05-09,"R","estimate",1.03395286803887,1.03435929835666,0.0148120136873714,1.01056771087488,1.02423206894913,1.03055133955675,1.03788201674512,1.04418437188847,1.05940701128914
