"Disease","date","variable","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
"Influenza",2025-04-28,"R","estimate",0.952611696893986,0.954248818025601,0.0378529103591356,0.898786952295793,0.931434318747239,0.94466035297009,0.960813778868511,0.97466934775359,1.01685128372584
"Influenza",2025-04-29,"R","estimate",0.952396688088005,0.954039998218982,0.0364366703328727,0.90096481139172,0.931867248901378,0.944860336164134,0.960367286270118,0.973762019060249,1.01374433863144
"Influenza",2025-04-30,"R","estimate",0.952146350463658,0.953832787259002,0.0350285173666959,0.902208714189329,0.932431173967388,0.945026240011027,0.960106711517659,0.972911318373223,1.01142050604559
"Influenza",2025-05-01,"R","estimate",0.952106491866368,0.953627865873255,0.0336308484719554,0.903556420079568,0.932837006608158,0.94511390726544,0.959758970815115,0.972209571348154,1.00900438189851
"Influenza",2025-05-02,"R","estimate",0.952181707082203,0.95342587980771,0.0322470296840271,0.905216954594891,0.933461546146543,0.945012736633304,0.959410472867669,0.971397471282395,1.00606752464015
"Influenza",2025-05-03,"R","estimate",0.952051826378332,0.953227448856963,0.0308814733188812,0.907019591104134,0.934083141315842,0.945068445152566,0.958825793489838,0.970731586520613,1.00393863853563
"Influenza",2025-05-04,"R","estimate",0.95174674184914,0.953033171263886,0.029539601824598,0.908713413723126,0.934483079801144,0.945104074121491,0.958554473548287,0.969972422530251,1.0016740141015
"Influenza",2025-05-05,"R","estimate",0.952023103165947,0.952843619522177,0.0282276810937306,0.909840485502166,0.935174377749885,0.945342304346852,0.958206175919053,0.969268388601003,0.999611755138772
"Influenza",2025-05-06,"R","estimate",0.951858992912504,0.952659324347004,0.0269524895144386,0.91154032700524,0.935665340926127,0.945544890412345,0.957999645271887,0.968511181025812,0.997534102490694
"Influenza",2025-05-07,"R","estimate",0.951927566915848,0.952480745806493,0.0257207946135581,0.913132585867058,0.936225043028857,0.945823178320057,0.957579796192634,0.967704148442638,0.995341132477938
"Influenza",2025-05-08,"R","estimate",0.951987425745729,0.952308234390443,0.0245386609346566,0.914557886850938,0.93683601966639,0.945987921394715,0.95721864112625,0.966926286906361,0.992988659620751
"Influenza",2025-05-09,"R","estimate",0.951850926289765,0.952141989040635,0.0234107048001698,0.915321239876114,0.937128076915524,0.946177583368591,0.956852895819802,0.96607793530305,0.991459339839951
"Influenza",2025-05-10,"R","estimate",0.951623648135201,0.951982022047339,0.0223395005147143,0.916279544086888,0.937477414338837,0.946376423335302,0.95651571589233,0.965316600351621,0.989672916520906
"Influenza",2025-05-11,"R","estimate",0.951455924363483,0.951828140671938,0.0213253660122508,0.917530342028019,0.938073425529403,0.946558799207829,0.956155536444909,0.96479425530127,0.98744951537877
"Influenza",2025-05-12,"R","estimate",0.95117470447863,0.951679952070197,0.0203666715153448,0.918878815675218,0.938609005778808,0.946809189835419,0.955941285799993,0.964132193169001,0.98577360315394
"Influenza",2025-05-13,"R","estimate",0.951191726446478,0.951536892777734,0.01946063707047,0.920404076666449,0.939362898265014,0.946718644528654,0.955580017279843,0.963519686435698,0.984182038925843
"Influenza",2025-05-14,"R","estimate",0.951073808012508,0.951398278798625,0.0186043904229355,0.921567196971961,0.939703632052857,0.946925361984903,0.955182404151437,0.962786318468801,0.982745258455421
"Influenza",2025-05-15,"R","estimate",0.951029605284818,0.951263369085373,0.0177959444312278,0.922459303083379,0.939982612272806,0.94701011485536,0.954863247035282,0.962292370511025,0.981292637083487
"Influenza",2025-05-16,"R","estimate",0.950934874175638,0.951131434567577,0.017034783468402,0.92377995395406,0.940387984607853,0.946941258719031,0.954778448354171,0.961641550528902,0.979924679595178
"Influenza",2025-05-17,"R","estimate",0.950730691067256,0.951001826113259,0.0163219055480173,0.924357277806055,0.940709347814386,0.946952621423849,0.954681810435849,0.961099890148213,0.978404915808378
"Influenza",2025-05-18,"R","estimate",0.950737625780989,0.950874036371571,0.0156593717913232,0.925703905949716,0.940766426943101,0.947003093316291,0.954426326599405,0.960515914950687,0.977269190320673
"Influenza",2025-05-19,"R","estimate",0.950514656014168,0.950747751133951,0.0150495723321548,0.926333795798591,0.941142703205504,0.947080617831379,0.954053022643043,0.960043088573146,0.975758109036304
"Influenza",2025-05-20,"R","estimate",0.950454759250004,0.950622885510276,0.0144944681914136,0.926881299329112,0.941373663274923,0.947164056136537,0.953841613390788,0.959684853421251,0.974687436894608
"Influenza",2025-05-21,"R","estimate",0.950321489970989,0.950499599751583,0.0139950131757744,0.927567592071714,0.941624314574654,0.947145270245333,0.953653503287653,0.959125985434497,0.973851142195992
"Influenza",2025-05-22,"R","estimate",0.950167910042315,0.950378290215233,0.0135508505219922,0.928131064985871,0.941891383085242,0.94708563712991,0.953452674678543,0.958757961351432,0.972816870714449
"Influenza",2025-05-23,"R","estimate",0.95005813445516,0.950259553469356,0.0131602813543866,0.928659200576871,0.941980739491152,0.947057269494968,0.95317466787991,0.958285249255982,0.972048284105071
"Influenza",2025-05-24,"R","estimate",0.949896983766836,0.950144125533176,0.0128204529680461,0.929379788656786,0.942173431034516,0.947023489142266,0.952939291145042,0.957969653936207,0.971055281619817
"Influenza",2025-05-25,"R","estimate",0.949777158976361,0.950032802558786,0.0125277048596052,0.929920119922908,0.942177963713339,0.947005486596626,0.952864283756449,0.95770870735221,0.970416027266884
"Influenza",2025-05-26,"R","estimate",0.949631709438931,0.949926352530543,0.0122780030822363,0.930097446849221,0.942159201801601,0.946954357923866,0.952705484845448,0.957659572342575,0.969965209881407
"Influenza",2025-05-27,"R","estimate",0.949714341273702,0.949825429000545,0.0120673670688844,0.930485727184825,0.942124947440655,0.946830979994977,0.952512092779149,0.957348501980794,0.969696226162396
"Influenza",2025-05-28,"R","estimate",0.94961869043251,0.949730497536785,0.011892165547109,0.93062901680747,0.942192939566932,0.946690247426881,0.95243702070153,0.957080813084382,0.969125761530828
"Influenza",2025-05-29,"R","estimate",0.949548085955024,0.949641784036474,0.0117491733278537,0.930817190836285,0.942079580066885,0.94658505071934,0.952340472953323,0.956811026969409,0.968989342728168
"Influenza",2025-05-30,"R","estimate",0.949417162172186,0.949559251941369,0.0116353654026133,0.930940164605432,0.942117212261954,0.946470049477019,0.952215573996448,0.956561347932337,0.968803505038593
"Influenza",2025-05-31,"R","estimate",0.949312795605971,0.949482612845964,0.0115475538149003,0.931180197126238,0.942023938668921,0.946531453863359,0.952016888472487,0.956394709782297,0.968329177275652
"Influenza",2025-06-01,"R","estimate",0.949150010247316,0.949411371780019,0.0114820736912365,0.931561203611502,0.942016352362243,0.946559378632634,0.951859996416292,0.956464517416265,0.96808157686453
"Influenza",2025-06-02,"R","estimate",0.949051576693758,0.949344904385465,0.0114347242215708,0.931484817054486,0.942018542803073,0.94636341993197,0.951796346911587,0.956362598023761,0.967961011014279
"Influenza",2025-06-03,"R","estimate",0.94903027102156,0.949282558636777,0.0114010510220262,0.931628199505663,0.942003275105967,0.946287844096789,0.951676434422844,0.956265141278943,0.967738929940379
"Influenza",2025-06-04,"R","estimate",0.94898653371032,0.949223769675314,0.0113768790500124,0.931527468391939,0.942053637555054,0.946230059631674,0.951603693825322,0.956134014887053,0.967491931096226
"Influenza",2025-06-05,"R","estimate",0.948964758623113,0.949168174025367,0.0113588729017972,0.931468664449677,0.942101317532845,0.946227850234603,0.951616601717881,0.956016537847196,0.96738488211529
"Influenza",2025-06-06,"R","estimate",0.948908271864081,0.949115709819517,0.0113448898257272,0.931282432977036,0.941997420796369,0.946278997154643,0.951536412682618,0.95590641981337,0.967545680871414
"Influenza",2025-06-07,"R","estimate",0.948974451348622,0.949066692642916,0.0113340009587637,0.931127299619147,0.941940145131952,0.946244622250137,0.951528848103342,0.955979638668745,0.967763918137531
"Influenza",2025-06-08,"R","estimate",0.948986447229379,0.949021861203601,0.0113262188360864,0.93099840964473,0.942014143081456,0.946326203595066,0.951583417897921,0.955902960927263,0.967734085350964
"Influenza",2025-06-09,"R","estimate",0.948953993223833,0.948982391778499,0.0113220917752628,0.931004428406718,0.94210752051535,0.946276070529872,0.951628897552251,0.955762697217777,0.967642945269814
"Influenza",2025-06-10,"R","estimate",0.948846118636248,0.948949884053416,0.0113223476195625,0.930852857900475,0.942142452167435,0.946290244666843,0.9515586730457,0.955784256617498,0.967317339559668
"Influenza",2025-06-11,"R","estimate",0.948905951468475,0.948926323110473,0.011327693149042,0.930516202949486,0.942221132190786,0.946380155293184,0.951523906138243,0.955877978816966,0.967256772720205
"Influenza",2025-06-12,"R","estimate",0.948933373959147,0.948914023220721,0.0113387601470309,0.930516714581823,0.942134919570962,0.946433219542848,0.951498865062327,0.955846322217377,0.967164823456032
"Influenza",2025-06-13,"R","estimate",0.949036484083106,0.948915559414155,0.0113561091940441,0.930274764766905,0.942131350849938,0.946482915096667,0.951566825218857,0.955970417206865,0.966963589497482
"Influenza",2025-06-14,"R","estimate",0.949131375905317,0.948933692962651,0.0113801996597412,0.93022052938128,0.942174649996154,0.94654709722681,0.951668915260703,0.956015292262484,0.966839671346854
"Influenza",2025-06-15,"R","estimate",0.949247117122847,0.948971296886487,0.0114112949839514,0.930146148876239,0.942185522135445,0.946566335015387,0.951712083186056,0.956156489733762,0.967059672914987
"Influenza",2025-06-16,"R","estimate",0.949323631320863,0.949031287004446,0.0114493421902141,0.929720240410814,0.942232361980095,0.946770852776896,0.951881056848117,0.95622253136301,0.966999958444031
"Influenza",2025-06-17,"R","estimate",0.949471639518366,0.949116562587171,0.011493891256202,0.929458591547716,0.942312147848806,0.946961785867923,0.952075974534591,0.956379149210664,0.967015515219568
"Influenza",2025-06-18,"R","estimate",0.949579631689254,0.949229958474326,0.011544089164493,0.929227086583441,0.942377550398861,0.947216729794771,0.952306336886731,0.956395973274813,0.966934291532689
"Influenza",2025-06-19,"R","estimate",0.949870361580048,0.949374208186287,0.0115987258732562,0.929301315831913,0.942463064287282,0.947337895355203,0.952407238270955,0.956626510785697,0.966997080050122
"Influenza",2025-06-20,"R","estimate",0.950139060771478,0.949551915871199,0.0116562750474855,0.92958607543002,0.94265647331824,0.947471030442967,0.952699085830884,0.956906611136567,0.967034060290834
"Influenza",2025-06-21,"R","estimate",0.950337868718523,0.949765534357298,0.0117148918156438,0.930051842689406,0.942914967807183,0.947626235491278,0.952919460956675,0.957278740165712,0.967260734402452
"Influenza",2025-06-22,"R","estimate",0.95060087915839,0.950017347028802,0.0117723911587001,0.930089266519398,0.943254015658934,0.947906024547521,0.953231142040807,0.95765546980757,0.9676875399734
"Influenza",2025-06-23,"R","estimate",0.950984338261956,0.950309452115575,0.0118262876251002,0.930235831787977,0.943488942299281,0.948222852489204,0.953595147786078,0.958011576545898,0.968049783747315
"Influenza",2025-06-24,"R","estimate",0.951341100710996,0.950643748571463,0.0118739823591865,0.930675077503192,0.943643585203181,0.948583184021856,0.954002696639096,0.958377892459616,0.968527251961453
"Influenza",2025-06-25,"R","estimate",0.951742435420272,0.951021922633344,0.0119131219011647,0.930822765671627,0.944021912985437,0.949143468665457,0.954361753572287,0.958643568687906,0.969137578422216
"Influenza",2025-06-26,"R","estimate",0.952144949886263,0.951445433562669,0.0119420537965803,0.930809324259294,0.944426672552788,0.949498304908772,0.954938679658875,0.958975796367495,0.96972325097295
"Influenza",2025-06-27,"R","estimate",0.952605210780204,0.951915496538557,0.0119602219231945,0.931312461359237,0.94482125010122,0.949946085787223,0.955389325515667,0.959481765735803,0.970165453058425
"Influenza",2025-06-28,"R","estimate",0.95318755428328,0.952433060784108,0.0119683280579274,0.931709166040432,0.945559000688401,0.950386072272257,0.955887188976196,0.960148060534554,0.970543397821432
"Influenza",2025-06-29,"R","estimate",0.953692241755264,0.952998781994984,0.0119681513018701,0.932421348984313,0.946092764055872,0.950963711083162,0.956441860320225,0.960706218668943,0.971208435846768
"Influenza",2025-06-30,"R","estimate",0.954287204382383,0.953612989722876,0.0119620405663099,0.933299732304865,0.946654084215282,0.951503899776613,0.95706867754415,0.961284147141487,0.971892277343166
"Influenza",2025-07-01,"R","estimate",0.955046486457868,0.954275651910668,0.0119522276843321,0.933982347631282,0.947384705515487,0.952136981539768,0.957782801548719,0.961876407787768,0.972446140074274
"Influenza",2025-07-02,"R","estimate",0.955672312716763,0.95498633963013,0.01194019457405,0.934762140739669,0.948230849679231,0.952681233434224,0.958437719993634,0.962468240597126,0.973372331302528
"Influenza",2025-07-03,"R","estimate",0.956389318368505,0.955744194892613,0.011926329021775,0.935714632188697,0.949041321050224,0.953588920886744,0.958978815877864,0.963194160505738,0.974482391519814
"Influenza",2025-07-04,"R","estimate",0.957121705363764,0.95654790329592,0.0119100157734863,0.936541570213334,0.949795920298566,0.954439182386471,0.959723330749816,0.96397057778967,0.975335564892791
"Influenza",2025-07-05,"R","estimate",0.957915126477741,0.957395671711577,0.0118901647713495,0.937531120968224,0.950489908237941,0.955109195009111,0.960556541754508,0.964747512871861,0.976052381846799
"Influenza",2025-07-06,"R","estimate",0.958723089742258,0.958285209840176,0.0118660292733213,0.938665159235869,0.951235652427498,0.956028782241652,0.96119804228497,0.965658391465828,0.977296294802798
"Influenza",2025-07-07,"R","estimate",0.959404238217699,0.959213713831972,0.0118380621644266,0.939667513592054,0.95206377264564,0.956854205470096,0.962043662363465,0.966448904247935,0.978445339662037
"Influenza",2025-07-08,"R","estimate",0.960309383135555,0.960177850628271,0.0118085278004607,0.940977984436823,0.953000249183035,0.957676671990203,0.962877748284561,0.967322328928798,0.979493906164864
"Influenza",2025-07-09,"R","estimate",0.961046082231316,0.961173743259591,0.0117816374800602,0.942290737464796,0.954061517707152,0.958454002716771,0.963793551569381,0.968206248343845,0.980753323856665
"Influenza",2025-07-10,"R","estimate",0.961985411751923,0.962196959722515,0.0117631029853694,0.943688963329166,0.955114282412705,0.959440235546556,0.964719838245373,0.969255680283312,0.981645519572055
"Influenza",2025-07-11,"R","estimate",0.962992372337755,0.96324251058961,0.0117591822200016,0.945194706910469,0.955923306958884,0.960353704288821,0.96564175147173,0.970218454475682,0.982654866237643
"Influenza",2025-07-12,"R","estimate",0.963901345712292,0.96430486231202,0.011775474744056,0.946309092505833,0.95691152847294,0.961269960517331,0.966664348981359,0.971240809505341,0.983794410650699
"Influenza",2025-07-13,"R","estimate",0.964754948257214,0.965377973437728,0.0118158368732569,0.947693610426484,0.957822447632724,0.962216742409762,0.967700621666466,0.97235277421142,0.985193192448763
"Influenza",2025-07-14,"R","estimate",0.965715342723239,0.966455359302055,0.0118817543322421,0.948638754014203,0.958896577810835,0.963103020134918,0.968713502694226,0.973535878911831,0.98630370948971
"Influenza",2025-07-15,"R","estimate",0.966774901190443,0.967530187451501,0.0119723240353787,0.949785643942386,0.959936991765929,0.964038880821005,0.969690925339698,0.974537093384712,0.987603753707582
"Influenza",2025-07-16,"R","estimate",0.967738602874241,0.968595402102238,0.0120847373400287,0.950636584703378,0.960892571430048,0.965081446986515,0.970657168639952,0.975511837515213,0.988976745571594
"Influenza",2025-07-17,"R","estimate",0.968713488480549,0.969643872544419,0.0122149630458884,0.951298849342184,0.961802570895965,0.966131560848691,0.971675139726617,0.976557012164348,0.990423094877449
"Influenza",2025-07-18,"R","estimate",0.969738801704407,0.970668558510996,0.0123583034139235,0.952441825963928,0.962806748361964,0.967059776858325,0.972652188644898,0.977527557367898,0.991913037595393
"Influenza",2025-07-19,"R","estimate",0.970638616423207,0.971662685290075,0.0125096415622189,0.953219204398638,0.963698934552344,0.967942780445417,0.973583120472521,0.978510747052776,0.993388820293864
"Influenza",2025-07-20,"R","estimate",0.971556964204749,0.972619922099188,0.0126634179275907,0.954057493293968,0.964516753388726,0.968750832532425,0.974526193032595,0.979451231414971,0.99488520381937
"Influenza",2025-07-21,"R","estimate",0.972551539701954,0.973534557863617,0.0128135403443799,0.954946848745949,0.965414238341891,0.969649131306179,0.975305435619584,0.980520937030065,0.996089871064172
"Influenza",2025-07-22,"R","estimate",0.973274756176133,0.974401668187807,0.0129534627936763,0.955599333106813,0.966064203164961,0.970506503649559,0.976100495553283,0.981367132392741,0.997263008098159
"Influenza",2025-07-23,"R","estimate",0.973983552607169,0.975217265891992,0.0130765610478987,0.956311985444735,0.966768084415965,0.971329558084084,0.977002007694321,0.98212644250217,0.998372407805551
